DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2000,38,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2001,44,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2002,49,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2013,118,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2014,131,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2015,140,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2016,151,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2017,145,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2018,161,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2019,176,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2020,191,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2021,212,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2022,232,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2023,253,s
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1990,388,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1991,397,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1992,412,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1993,425,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1994,438,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1995,452,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1996,463,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1997,475,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1998,487,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1999,501,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2000,511,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2001,519,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2002,492,b
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2003,498,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2004,501,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2005,504,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2006,508,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2007,511,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2008,514,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2009,522,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2010,530,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2011,537,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2012,542,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2013,546,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2014,547,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2015,546,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2016,550,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2017,555,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2018,562,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2019,566,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2020,570,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2021,572,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2022,566,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2023,566,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bosnia and Herzegovina,2010,189,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bosnia and Herzegovina,2011,192,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bosnia and Herzegovina,2012,196,s
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bosnia and Herzegovina,2013,202,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bosnia and Herzegovina,2014,209,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bosnia and Herzegovina,2015,235,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bosnia and Herzegovina,2016,245,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bosnia and Herzegovina,2017,252,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bosnia and Herzegovina,2018,263,p
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bosnia and Herzegovina,2019,269,ps
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bosnia and Herzegovina,2020,268,ps
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bosnia and Herzegovina,2021,284,p
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bosnia and Herzegovina,2022,292,p
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bosnia and Herzegovina,2023,306,p
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,1990,387,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,1991,396,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,1992,399,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,1993,407,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,1994,416,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,1995,421,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,1996,427,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,1997,433,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,1998,440,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,1999,448,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2000,456,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2001,460,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2002,462,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2003,464,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2004,467,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2005,468,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2006,470,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2007,473,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2008,477,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2009,479,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2010,480,b
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2011,488,b
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2012,489,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2013,492,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2014,497,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2015,501,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2016,505,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2017,509,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2018,511,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2019,510,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2020,510,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2021,510,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2022,507,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Belgium,2023,511,p
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,1990,152,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,1991,158,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,1992,166,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,1993,178,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,1994,188,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,1995,197,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,1996,205,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,1997,209,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,1998,220,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,1999,233,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2000,245,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2001,265,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2002,279,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2003,298,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2004,317,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2005,333,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2006,233,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2007,277,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2008,317,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2009,337,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2010,353,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2011,368,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2012,385,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2013,409,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2014,429,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2015,456,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2016,459,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2017,410,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2018,416,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2019,431,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2020,439,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2021,437,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2022,449,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Bulgaria,2023,466,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,1991,447,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,1992,447,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,1993,446,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,1994,451,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,1995,457,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,1996,461,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,1997,468,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,1998,475,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,1999,484,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2000,492,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2001,500,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2002,506,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2003,510,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2004,514,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2005,518,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2006,519,e
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2007,521,e
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2008,518,e
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2009,515,e
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2010,518,be
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2011,523,e
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2012,529,e
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2013,536,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2014,538,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2015,541,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2016,544,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2017,546,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2018,546,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2019,545,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2020,546,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2021,549,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2022,546,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Switzerland,2023,543,p
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,1990,305,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,1991,315,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,1992,320,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,1993,321,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,1994,325,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,1995,335,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,1996,341,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,1997,348,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,1998,365,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,1999,372,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2000,384,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2001,397,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2002,404,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2003,419,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2004,458,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2005,477,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2006,492,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2007,529,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2008,557,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2009,563,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2010,551,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2011,545,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2012,549,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2013,553,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2014,565,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2015,575,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2016,595,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2017,609,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2018,629,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2019,645,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2020,645,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2021,655,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2022,653,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Cyprus,2023,665,ps
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Czechia,1990,234,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Czechia,1993,274,
